id_day,date,description,death_date,description_lower
1,2024-05-31,"Festa da Visitação da Virgem Santa Maria , em que a Mãe de Deus foi ao encontro da sua parenta Isabel, que em avançada idade tinha concebido um filho, e a saudou. No feliz encontro das duas futuras mães, o Redentor que vinha ao mundo santificou o precursor ainda no seio da sua mãe, e Maria, respondendo à saudação de Isabel e exultando na alegria do Espírito Santo, deu glória ao Senhor com um cântico de louvor, o “Magnificat”.",,"festa da visitação da virgem santa maria , em que a mãe de deus foi ao encontro da sua parenta isabel, que em avançada idade tinha concebido um filho, e a saudou. no feliz encontro das duas futuras mães, o redentor que vinha ao mundo santificou o precursor ainda no seio da sua mãe, e maria, respondendo à saudação de isabel e exultando na alegria do espírito santo, deu glória ao senhor com um cântico de louvor, o “magnificat”."
2,2024-05-31,"Em Roma, no cemitério de Domitila, junto à Via Ardeatina, Santa Petronila , virgem e mártir.",(† data inc.),"em roma, no cemitério de domitila, junto à via ardeatina, santa petronila , virgem e mártir."
3,2024-05-31,"Em Comana, no Ponto, na Turquia, Santo Hérmias , soldado, mártir.",(† s. III),"em comana, no ponto, na turquia, santo hérmias , soldado, mártir."
4,2024-05-31,"Em Aquileia, região da Itália, os santos Câncio , Canciano e Cancianila , mártires, que, presos pelo perseguidor quando saíam da cidade num carro, foram finalmente levados ao suplício.",(† s. IV),"em aquileia, região da itália, os santos câncio , canciano e cancianila , mártires, que, presos pelo perseguidor quando saíam da cidade num carro, foram finalmente levados ao suplício."
5,2024-05-31,"Em Toulouse, na Gália Narbonense, actualmente na França, São Sílvio , bispo, que empreendeu a construção de uma basílica para honrar o túmulo de São Saturnino.",(† c. 400),"em toulouse, na gália narbonense, actualmente na frança, são sílvio , bispo, que empreendeu a construção de uma basílica para honrar o túmulo de são saturnino."
6,2024-05-31,"Em Forlí, na Emília-Romanha, região da Itália, o Beato Tiago Salomóni , presbítero, que, sendo ainda adolescente, falecido o seu pai e recebida sua mãe entre as monjas cistercienses, distribuiu os seus bens aos pobres e entrou na Ordem dos Pregadores, onde resplandeceu durante quarenta e cinco anos, dotado de insignes dons carismáticos, amigo dos pobres e homem de paz.",(† 1314),"em forlí, na emília-romanha, região da itália, o beato tiago salomóni , presbítero, que, sendo ainda adolescente, falecido o seu pai e recebida sua mãe entre as monjas cistercienses, distribuiu os seus bens aos pobres e entrou na ordem dos pregadores, onde resplandeceu durante quarenta e cinco anos, dotado de insignes dons carismáticos, amigo dos pobres e homem de paz."
7,2024-05-31,"Em Camerino, no Piceno, região da Itália, Santa Baptista de Varano (Camila Baptista de Varano), abadessa do mosteiro das Clarissas fundado por seu pai, onde experimentou grandes tribulações e consolações místicas.",(† 1524),"em camerino, no piceno, região da itália, santa baptista de varano (camila baptista de varano), abadessa do mosteiro das clarissas fundado por seu pai, onde experimentou grandes tribulações e consolações místicas."
8,2024-05-31,"Em York, na Inglaterra, os beatos mártires Roberto Thorpe , presbítero, e Tomás Watkinson , que, no reinado de Isabel I, foram condenados à morte: o primeiro, porque era sacerdote e o segundo, pai de família já ancião, porque muitas vezes prestou auxílio aos sacerdotes; ambos receberam ao mesmo tempo no patíbulo a coroa do martírio.",(† 1591),"em york, na inglaterra, os beatos mártires roberto thorpe , presbítero, e tomás watkinson , que, no reinado de isabel i, foram condenados à morte: o primeiro, porque era sacerdote e o segundo, pai de família já ancião, porque muitas vezes prestou auxílio aos sacerdotes; ambos receberam ao mesmo tempo no patíbulo a coroa do martírio."
9,2024-05-31,"Em Paris, na França, o Beato Nicolau Barré , presbítero, que foi docente de teologia e célebre director de almas no espírito do Evangelho e instituiu por todas as partes da França as Escolas Cristãs e da Caridade, bem como as Irmãs Mestras do Menino Jesus, destinadas à instrução gratuita da juventude mais carenciada.",(† 1686),"em paris, na frança, o beato nicolau barré , presbítero, que foi docente de teologia e célebre director de almas no espírito do evangelho e instituiu por todas as partes da frança as escolas cristãs e da caridade, bem como as irmãs mestras do menino jesus, destinadas à instrução gratuita da juventude mais carenciada."
10,2024-05-31,"Em Nicósia, na Sicília, região da Itália, São Félix (Tiago Amoroso), religioso, que, depois de ter sido recusado durante dez anos, ingressou finalmente na Ordem dos Menores Capuchinhos, onde exerceu os mais humildes ofícios com grande simplicidade e inocência de coração.",(† 1787),"em nicósia, na sicília, região da itália, são félix (tiago amoroso), religioso, que, depois de ter sido recusado durante dez anos, ingressou finalmente na ordem dos menores capuchinhos, onde exerceu os mais humildes ofícios com grande simplicidade e inocência de coração."
11,2024-05-31,"Em Bellegra, localidade próxima de Roma, o Beato Mariano de Roccacasale (Domingos) Di Nicolantónio , religioso da Ordem dos Frades Menores, que, exercendo o ofício de porteiro, abriu as portas do convento aos pobres e aos peregrinos, a quem socorreu de todos os modos com imensa caridade.",(† 1866),"em bellegra, localidade próxima de roma, o beato mariano de roccacasale (domingos) di nicolantónio , religioso da ordem dos frades menores, que, exercendo o ofício de porteiro, abriu as portas do convento aos pobres e aos peregrinos, a quem socorreu de todos os modos com imensa caridade."
12,2024-05-31,"Em Mityana, localidade do Uganda, São Noé Mawaggali , mártir, que, sendo fâmulo do rei, quando irrompeu a perseguição recusou destemidamente empreender a fuga e espontaneamente apresentou o peito às lanças dos soldados, que, depois de o terem trespassado, o penduraram numa árvore, até chegar à morte por Cristo.",(† 1886),"em mityana, localidade do uganda, são noé mawaggali , mártir, que, sendo fâmulo do rei, quando irrompeu a perseguição recusou destemidamente empreender a fuga e espontaneamente apresentou o peito às lanças dos soldados, que, depois de o terem trespassado, o penduraram numa árvore, até chegar à morte por cristo."
