date,description,death_date
2024-01-02,"<p><strong>12*.   </strong>Em Forli, na Emília, hoje Emília-Romanha, na Itália, o Beato <strong>Marcolino</strong> <strong>Ammáni</strong>, presbítero da Ordem dos Pregadores, que, tanto no silêncio e na solidão, como no serviço dos pobres e no cuidado das crianças, passou toda a sua vida na mais humilde simplicidade.</p>",(† 1397)
2024-01-02,"<p><strong>13*.   </strong>Em Soncino, na Lombardia, também na Itália, a Beata <strong>Estefânia</strong> <strong>Quinzáni</strong>, virgem, irmã da Ordem Terceira de São Domingos, que se dedicou intensamente à contemplação da paixão do Senhor e à formação cristã das jovens.</p>",(† 1530)
2024-01-02,"<p><strong>14*.   </strong>Em Angers, na França, os beatos <strong>Guilherme</strong> <strong>Repin</strong> e <strong>Lourenço</strong> <strong>Batard</strong>, presbíteros e mártires, que, durante a Revolução Francesa, foram decapitados por causa da sua fidelidade à Igreja.</p>",(† 1794)
2024-01-02,"<p><strong>15*.   </strong>Em Lachine, cidade do Quebec, província do Canadá, a Beata <strong>Maria</strong> <strong>Ana</strong> (Maria Ester) <strong>Soureau-Blondin</strong>, virgem, que, embora sem instrução na sua juventude, fundou a Congregação das Irmãs de Santa Ana para formação dos filhos dos agricultores, dando sempre nesse ministério um exemplo insigne de educadora da juventude.          </p>
<p>                              </p>",(† 1890)
2024-01-03,"<p>O<strong> Santíssimo Nome de Jesus</strong>, o único nome ao qual tudo o que há nos céus, na terra e nos abismos se ajoelha, para glória de Deus Pai.</p>
<p> </p>",
2024-01-03,"<p><strong>2.   </strong>Em Roma, no cemitério de Calisto, junto à Via Ápia, o sepultamento de Santo <strong>Antero</strong>, papa, que, num breve pontificado, sucedeu ao mártir Ponciano.</p>",(† 236)
2024-01-03,"<p><strong>3.   </strong>Em Nicomédia, na Bitínia, hoje Izmit, na actual Turquia, os santos <strong>Teopento</strong> e <strong>Teonas</strong>, que sofreram o martírio durante a perseguição de Diocleciano.</p>",(† 304)
2024-01-03,"<p><strong>4.   </strong>Em Cesareia da Capadócia, hoje Kayseri, também na actual Turquia, o centurião São <strong>Górdio</strong>, mártir, que São Basílio louva como verdadeiro émulo do centurião que estava junto à Cruz, porque, durante a perseguição do imperador Diocleciano, professou a fé em Jesus, Filho de Deus.</p>",(† 304)
2024-01-03,"<p><strong>5.   </strong>Em Pádua, no actual Véneto, região da Itália, a comemoração de São <strong>Daniel</strong>, diácono e mártir.</p>",(† c. 304)
2024-01-03,"<p><strong>6.   </strong>Em Pário, no Helesponto, na actual Turquia, São <strong>Teógenes</strong>, mártir, que, recrutado como soldado no tempo do imperador Licínio, recusando-se a prestar o serviço militar por causa da sua fé cristã, foi encarcerado, torturado e finalmente afogado no mar.</p>",(† 320)
2024-01-03,"<p><strong>7.   </strong>Em Vienne, na Gália Lionense, na actual França, São <strong>Florêncio</strong>, bispo, que tomou parte no Concílio celebrado em Valence.</p>",(† d. 377)
2024-01-03,"<p><strong>8.   </strong>Em Paris, na Gália, actualmente também na França, o sepultamento de Santa <strong>Genoveva</strong>, virgem, natural de Nanterre, que, aos quinze anos, por conselho de São Germano, bispo de Auxerre, tomou o véu das virgens consagradas. Confortou os habitantes da cidade, aterrados pela incursão dos Hunos, e sustentou os seus concidadãos em tempo de fome.           </p>",(† c. 500)
2024-01-03,"<p><strong>9*.   </strong>Em Lentíni, na Sicília, região da Itália, São <strong>Luciano</strong>, bispo.</p>",(† s. VIII/IX)
2024-01-03,"<p><strong>10*.   </strong>No mosteiro de Mannaman, no Kérala, estado da Índia, São <strong>Ciríaco Elias Chavara</strong>, presbítero, fundador da Congregação dos Irmãos Carmelitas de Maria Imaculada.</p>",(† 1871)
2024-01-04,"<p><strong>1.   </strong>Na Mésia, no território actualmente compreendido entre a Roménia e a Bulgária, os santos <strong>Hermes</strong> e <strong>Caio</strong>, mártires, o primeiro em Arcer, o segundo em Vidin. </p>",(† s. IV)
2024-01-04,"<p><strong>2.   </strong>Em Dijon, na Borgonha, actualmente na França, São <strong>Gregório</strong>, que, depois ter sido conde na região de Autun durante muitos anos, foi ordenado bispo de Langres.</p>",(† 539/540)
2024-01-04,"<p><strong>3.   </strong>Em Uzès, na Gália Narbonense, hoje também na França, São <strong>Ferréolo</strong>, bispo, que escreveu uma regra para monges e, tendo sido mandado para o exílio por inveja, três anos depois foi reconhecido como verdadeiro homem de Deus e voltou com grande alegria para junto do seu povo. </p>",(† 581)
2024-01-04,"<p><strong>4*.   </strong>Em Meaux, na Nêustria, também na actual França, São <strong>Rigomero</strong>, bispo.</p>",(† s. VI)
2024-01-04,"<p><strong>5*.   </strong>Em Reims, também na Nêustria, São <strong>Rigoberto</strong>, bispo, que, expulso, contra as normas canónicas, da sua sede episcopal por Carlos Martel, rei dos Francos, passou o resto da vida em obscura humildade.</p>",(† c. 743)
